date,return,GDP_growth,inflation,FFR
1957-04-01,7.04544,1.98098,3.53591,3
1957-07-01,-6.79407,3.07278,3.54662,3.47
1957-10-01,-7.28927,0.3547,3.04017,2.98
1958-01-01,2.94839,-2.87229,3.62527,1.2
1958-04-01,5.01195,-2.01954,2.84596,0.93
1958-07-01,10.45452,-0.72596,2.08333,1.76
1958-10-01,8.642,2.65733,1.75623,2.42
1959-01-01,7.38636,7.41511,0.34638,2.8
1959-04-01,3.70368,9.11883,0.6918,3.39
1959-07-01,0.68029,6.72622,1.17606,3.76
1959-10-01,5.57432,4.58494,1.51881,3.99
1960-01-01,-8.32,4.9238,1.51881,3.84
1960-04-01,4.71205,2.0591,1.71762,3.32
1960-07-01,-7.16668,2.48766,1.23077,2.6
1960-10-01,1.97487,0.8851,1.36008,1.98
1961-01-01,10.03522,-0.66752,1.46209,2.02
1961-04-01,3.04,1.56578,0.77676,1.73
1961-07-01,2.79502,3.01153,1.24958,1.88
1961-10-01,2.568,6.3975,0.67092,2.33
1962-01-01,-2.06185,7.56916,1.1059,2.85
1962-04-01,-19.84962,6.73027,1.23995,2.68
1962-07-01,4.31518,6.00687,1.46765,2.9
1962-10-01,8.63308,4.30985,1.23292,2.93
1963-01-01,3.97352,3.60111,1.12695,2.98
1963-04-01,6.68789,3.82459,1.32406,2.99
1963-07-01,2.68658,4.8187,0.98619,3.48
1963-10-01,2.90697,5.15981,1.64582,3.38
1964-01-01,6.92091,6.21734,1.40937,3.43
1964-04-01,0.66051,6.18231,1.30676,3.5
1964-07-01,4.34478,5.52129,1.17188,3.45
1964-10-01,0.77934,5.15781,1.19819,3.85
1965-01-01,3.35838,5.4783,1.19586,4.05
1965-04-01,-2.58658,5.66027,1.93486,4.05
1965-07-01,5.22274,6.34748,1.73745,4.02
1965-10-01,3.48278,8.46227,1.92,4.32
1966-01-01,-2.70499,8.47702,2.77866,4.66
1966-04-01,-3.47049,7.48934,2.43594,5.17
1966-07-01,-9.9059,6.04211,3.57369,5.4
1966-10-01,5.15354,4.5044,3.3595,5.4
1967-01-01,11.00817,2.92507,2.54817,4.53
1967-04-01,3.11189,2.63774,2.84126,3.98
1967-07-01,5.31697,2.73874,2.59542,3.99
1967-10-01,-0.32807,2.67093,3.28068,4.51
1968-01-01,-6.74624,3.84482,3.93939,5.05
1968-04-01,14.47566,5.51468,4.2042,6.07
1968-07-01,0.28877,5.33535,4.46429,5.78
1968-10-01,6.19203,4.95786,4.70588,6.02
1969-01-01,-7.674,4.46943,5.24781,6.79
1969-04-01,-0.88572,3.06478,5.4755,8.9
1969-07-01,-5.12889,2.94761,5.69801,9.15
1969-10-01,-2.83901,2.04421,5.89888,8.97
1970-01-01,-2.79124,0.32279,6.09418,7.76
1970-04-01,-16.53981,0.16112,6.01093,7.61
1970-07-01,9.25383,0.42134,5.66038,6.29
1970-10-01,8.66051,-0.16735,5.57029,4.9
1971-01-01,12.01803,2.69716,4.43864,3.71
